ctryyear,ctry,ctrycode,year,gdp,gdpdelta,gdp%change,lforce,lforcedelta,lforce%change,unemp,unempdelta,unemp%change,inflation,inflationdelta,inflation%change
GBR2011,United Kingdom,GBR,2011,0.718681635,-0.4007018979999999,-0.35796658266546066,62.03900146,-0.02199935999999525,-0.0003544796202014089,8.036999702000001,0.2499995230000014,0.032104728040741604,4.484239645,1.1985253589999996,0.36476858749001995
GBR2012,United Kingdom,GBR,2012,0.611016523,-0.10766511200000006,-0.14980918776364738,62.24399948,0.2049980199999979,0.003304341062487559,7.886000156000001,-0.15099954600000043,-0.01878804922220223,2.821709747,-1.6625298979999998,-0.3707495650580913
GBR2013,United Kingdom,GBR,2013,1.23102841,0.620011887,1.0147219652192612,62.537998200000004,0.2939987200000047,0.004723326303838649,7.526000023,-0.36000013300000067,-0.045650535870976006,2.5545466869999998,-0.2671630600000001,-0.0946812691433071
GBR2014,United Kingdom,GBR,2014,2.2969202969999998,1.0658918869999998,0.8658548237729136,62.71500015,0.17700194999999752,0.0028303104527576117,6.111000061,-1.4149999619999996,-0.18801487611953993,1.460191609,-1.0943550779999998,-0.4283950195818049
GBR2015,United Kingdom,GBR,2015,1.3850383730000002,-0.9118819239999996,-0.39700198791878216,62.68299866,-0.03200148999999897,-0.0005102685150834008,5.301000118,-0.8099999430000002,-0.13254785385609247,0.050020842,-1.410170767,-0.9657436450862388
GBR2016,United Kingdom,GBR,2016,1.017503504,-0.3675348690000002,-0.2653607843397998,62.65999985,-0.022998810000004255,-0.0003669066651509345,4.848999977,-0.4520001410000001,-0.08526695546849639,0.641613199,0.591592357,11.826917207831087
USA1996,United States,USA,1996,2.5953052480000003,,,65.95899963,,,5.400000095,,,2.9312042000000003,,
USA1997,United States,USA,1997,3.236586683,0.6412814349999998,0.24709287491102838,66.27899933,0.319999700000011,0.004851494137192214,4.900000095,-0.5,-0.09259259096364891,2.337689937,-0.5935142630000003,-0.20248137710774305
USA1998,United States,USA,1998,3.2393924810000003,0.002805798000000248,0.0008669003103600748,66.35199738,0.07299804999999537,0.001101375258195203,4.5,-0.4000000950000002,-0.08163267086630543,1.5522790990000002,-0.7854108379999998,-0.33597733624499915
USA1999,United States,USA,1999,3.489933532,0.25054105099999946,0.07734198695264527,66.41899872,0.06700134000000446,0.0010097863311677724,4.1999998089999995,-0.3000001910000005,-0.06666670911111128,2.188027197,0.6357480979999997,0.40955785490480245
USA2000,United States,USA,2000,2.940291775,-0.5496417569999998,-0.15749347429118887,66.44000244,0.02100371999999595,0.00031623060276086967,4.0,-0.19999980899999947,-0.04761900430838795,3.3768572710000004,1.1888300740000006,0.5433342307764746
USA2001,United States,USA,2001,-0.018489778000000002,-2.958781553,-1.0062884160535395,66.06500244,-0.375,-0.005644190039557184,4.6999998089999995,0.6999998089999995,0.17499995224999987,2.8261711189999996,-0.5506861520000008,-0.16307652583638044
USA2002,United States,USA,2002,0.8461259529999999,0.8646157309999999,-46.761823262561606,65.70500183,-0.36000061000000017,-0.005449187871096384,5.8000001910000005,1.100000382000001,0.23404264397918007,1.5860316269999999,-1.2401394919999997,-0.4388055215987082
USA2003,United States,USA,2003,1.926956876,1.0808309230000002,1.277387744895233,65.31700134,-0.38800048999999603,-0.005905189547119716,6.0,0.19999980899999947,0.03448272455410328,2.270094973,0.6840633460000001,0.4313049843110097
USA2004,United States,USA,2004,2.8296534889999996,0.9026966129999996,0.46845709120062295,65.0510025,-0.26599884000000884,-0.004072428840010356,5.5,-0.5,-0.08333333333333337,2.6772366930000002,0.40714172000000026,0.17935008219587845
USA2005,United States,USA,2005,2.397046016,-0.4326074729999996,-0.15288355082405625,65.09200287,0.041000370000006114,0.0006302803711595306,5.099999905,-0.4000000950000002,-0.07272729,3.392746845,0.7155101519999998,0.2672569645675329
USA2006,United States,USA,2006,1.681416459,-0.715629557,-0.2985464410041596,65.23600006,0.14399718999999322,0.0022122101587129794,4.599999905,-0.5,-0.09803921751249522,3.225944101,-0.16680274399999995,-0.04916451230242025
USA2007,United States,USA,2007,0.815188221,-0.866228238,-0.5151776844834608,65.08899689,-0.14700316999999075,-0.002253405632852812,4.599999905,0.0,0.0,2.852672482,-0.37327161900000005,-0.1157092644241079
USA2008,United States,USA,2008,-1.230282169,-2.04547039,-2.5092001298679216,65.08799744,-0.0009994500000090056,-1.535512986472476e-05,5.8000001910000005,1.2000002860000007,0.2608696327788296,3.839100297,0.9864278149999999,0.34579077031248207
USA2009,United States,USA,2009,-3.624124115,-2.3938419459999998,1.9457665942974418,64.42900085,-0.658996590000001,-0.01012470218656647,9.300000191,3.5,0.6034482559898935,-0.355546266,-4.194646563,-1.0926118721820932
