,ctryyear,ctry,ctrycode,year,gdp,gdpdelta,gdp%change,lforcedelta,lforce%change,unemp,unempdelta,unemp%change,inflation,inflationdelta,inflation%change,All Products_tariff,All Products_delta,All Products_%change,Capital goods_tariff,Capital goods_delta,Capital goods_%change,Consumer goods_tariff,Consumer goods_delta,Consumer goods_%change,Intermediate goods_tariff,Intermediate goods_delta,Intermediate goods_%change,Raw materials_tariff,Raw materials_delta,Raw materials_%change
87,BLZ1999,Belize,BLZ,1999,4.801900463,4.970308043,-29.513564906045204,0.4790000899999996,0.00796952098500503,12.80000019,-1.5,-0.10489510350139376,2.621395246,0.426132746,0.1941147111108581,11.1878631605945,,-0.28429467201117564,12.454275438816197,,-0.10807719094968636,8.90165504786998,,-0.5038868292167482,14.327103136787,,0.4626070869897154,25.434587134451398,,1.141842819326878
88,BLZ2000,Belize,BLZ,2000,9.250159336,4.448258873,0.9263538274637492,0.5330009500000017,0.008797863235831649,10.75399971,-2.04600048,-0.15984378512731878,3.067439669,0.4460444229999996,0.1701553490190466,,,,,,,,,,,,,,,
89,BLZ2001,Belize,BLZ,2001,1.857170233,-7.392989103,-0.7992282980713403,0.5069999700000025,0.008295699336112737,9.100000381000001,-1.6539993289999997,-0.15380317775738528,3.651417866,0.5839781970000004,0.19037968469331945,10.717061643363099,,-0.04208145116483386,6.660368872584139,,-0.465214262740184,13.138293794445401,,0.4759383197610178,7.420131470082572,,-0.4820912923401617,9.96459858662995,,-0.6082264463757383
92,BLZ2004,Belize,BLZ,2004,2.012685989,-4.501170458000001,-0.6910146845611012,0.5469970699999962,0.008720419839085336,10.2159996,0.1089992500000001,0.010784530149937188,6.394430997000001,4.0763482500000014,1.7584998875797253,,,,,,,,,,,,,,,
93,BLZ2005,Belize,BLZ,2005,-0.024137828,-2.0368238169999997,-1.0119928434598946,0.5230026199999998,0.00826581053271247,10.97999954,0.7639999399999997,0.0747846485820145,-1.104310444,-7.498741441000002,-1.1726987818803731,,,,,,,,,,,,,,,
94,BLZ2006,Belize,BLZ,2006,1.895579088,1.919716916,-79.53146886289855,0.7499961899999974,0.011756162975557816,9.399999618999999,-1.5799999210000006,-0.1438979951906264,-7.113767713,-6.0094572689999985,5.441818740057122,10.0233654331064,,-0.11702110251867548,7.17624469826479,,0.06047741732678369,11.635122643619402,,-0.2290543513496316,7.29702671799975,,0.070804590192598,9.67757881584282,,-0.07517408641801271
104,BLZ2016,Belize,BLZ,2016,-2.85160523,-2.9887956769999997,-21.785741954758702,0.11699677000000007,0.0016757633206021527,11.0340004,1.0640001330000004,0.10672017096346176,,,,11.4883785190825,0.3418320013391991,0.030667077089308718,7.313103653110559,0.10444396432550017,0.014488680120104737,15.3306393720838,0.37024616606989896,0.02474842478879924,6.667850673123231,0.11208551304284063,0.01709724346524122,15.366017810320999,0.8752757035966994,0.0604024070782776
125,BOL2016,Bolivia,BOL,2016,2.701313052,-0.5666361210000006,-0.17339196266624446,0.07099913999999785,0.0009706098235262584,3.709000111,0.2060000900000003,0.05880676242222616,3.625239368,-0.4357243580000008,-0.10729580153851404,,,,,,,,,,,,,,,
148,BRB1997,Barbados,BRB,1997,4.346605364,0.7646205629999998,0.21346281614219495,-0.046997070000003305,-0.0006760806462089429,14.60000038,-0.09999942999999868,-0.0068026824008509115,7.71053879,5.324386562,2.2313691890742184,,,,,,,,,,,,,,,
149,BRB1998,Barbados,BRB,1998,3.351358705,-0.9952466590000002,-0.2289710189112075,0.03599547999999686,0.0005181665900766408,12.30000019,-2.3000001900000004,-0.15753425548883448,-1.268886607,-8.979425397,-1.164565232282555,,,,,,,,,,,,,,,
