ctry,year,gdpgrowth,gdpdelta,gdp%change,lforce,lforcedelta,lforce%change,unemp,unempdelta,unemp%change
Guatemala,2005,0.901731159,0.13921753699999995,0.18257711466825444,65.26799774,1.9539985599999952,0.030862030282510444,2.476999998,-0.6530001159999994,-0.20862622754524263
Guatemala,2006,3.0122925360000004,2.1105613770000002,2.340566094378469,67.07800293,1.8100051899999983,0.027731893924650253,1.7999999519999998,-0.6770000460000003,-0.27331451213025004
Guatemala,2007,3.950844206,0.9385516699999998,0.31157387895874655,66.00499725,-1.0730056799999943,-0.01599638679046156,2.5,0.7000000480000002,0.38888892592592694
Guatemala,2008,1.024157493,-2.9266867130000005,-0.7407750243746261,64.91400146,-1.090995790000008,-0.016528987735091594,2.792000055,0.2920000549999999,0.11680002200000006
Guatemala,2009,-1.649976677,-2.67413417,-2.6110575651473558,63.80899811,-1.105003349999997,-0.017022573330052637,3.0789999960000003,0.28699994100000037,0.10279367311831966
Guatemala,2010,0.660625514,2.310602191,-1.4003847588931708,62.6969986,-1.1119995099999969,-0.017427001566190148,3.74000001,0.6610000139999999,0.21468009576444302
Guatemala,2011,1.942669186,1.282043672,1.9406511629219332,61.59600067,-1.1009979299999983,-0.01756061621106053,4.1300001139999996,0.3900001039999994,0.10427810239497814
Guatemala,2012,0.797912686,-1.1447565000000002,-0.5892699118562125,66.24800110000001,4.652000430000008,0.07552439085977447,2.8699998860000004,-1.2600002279999991,-0.30508479254729615
Guatemala,2013,1.5352445259999998,0.7373318399999998,0.9240758455618787,61.00400162,-5.243999480000014,-0.07915709746599453,2.99000001,0.12000012399999971,0.04181189155629106
Guatemala,2014,2.032858704,0.4976141780000003,0.32412698405543794,61.25600052,0.2519989000000038,0.004130858522523262,2.910000086,-0.079999924,-0.026755827335264826
Guatemala,2015,2.03275711,-0.00010159400000020469,-4.997592788924532e-05,61.47200012,0.2159995999999964,0.0035261786301159503,2.420000076,-0.49000001000000015,-0.1683848781851892
Guatemala,2016,1.01538774,-1.01736937,-0.5004874241959976,61.70800018,0.23600006000000207,0.003839147246539998,2.377000093,-0.042999983000000075,-0.01776858745850718
Guyana,1996,7.8027517710000005,3.2231218550000005,0.7037952660190459,59.57300186,,,11.38500023,,
Guyana,1997,6.415654104,-1.3870976670000008,-0.177770318435009,59.63700104,0.06399918000000326,0.0010742983902407577,11.63700008,0.2519998500000007,0.02213437372938909
Guyana,1998,-1.376844954,-7.792499058,-1.214607105009226,59.83599854,0.19899749999999727,0.0033368126587471902,11.6239996,-0.013000480000000536,-0.0011171676472138126
Guyana,1999,3.3344374219999997,4.711282376,-3.42179586910844,59.94599915,0.11000061000000017,0.0018383684184106741,11.56599998,-0.057999619999998586,-0.004989644012031724
Guyana,2000,-1.117895774,-4.452333196,-1.3352576859365635,60.14400101,0.19800185999999798,0.0033030037501675658,11.58600044,0.020000459999998554,0.0017292460690456757
Guyana,2001,2.391087585,3.508983359,-3.1389181716326986,60.18899918,0.04499817000000661,0.0007481738701176077,11.53999996,-0.04600048000000001,-0.003970350272142764
Guyana,2002,1.101937255,-1.2891503300000002,-0.5391481006748651,60.20899963,0.020000449999997727,0.00033229411142365883,11.81999969,0.2799997300000001,0.024263408229682426
Guyana,2003,-1.001700241,-2.103637496,-1.909035642868795,60.22800064,0.019001009999996654,0.0003155842169237921,11.52700043,-0.2929992600000002,-0.024788432122200832
Guyana,2004,3.3220964110000004,4.323796652,-4.316457633756325,60.14599991,-0.08200072999999719,-0.0013615050994326694,11.26599979,-0.2610006399999989,-0.022642546218764936
Guyana,2005,-1.864736191,-5.186832602000001,-1.5613130867682092,60.06100082,-0.08499909000000372,-0.0014132126845873838,10.22700024,-1.0389995499999998,-0.09222435375174098
Guyana,2006,5.31824214,7.182978330999999,-3.8520077883767527,60.13299942,0.07199860000000058,0.0011987579130721127,10.69999981,0.4729995699999989,0.0462500790945517
Guyana,2007,7.268163252000001,1.949921112000001,0.3666476743008924,60.05199814,-0.08100127999999529,-0.0013470354178450883,10.35000038,-0.34999942999999867,-0.032710227683639403
Guyana,2008,2.189122887,-5.079040365000001,-0.6988065882535573,60.03699875,-0.014999389999999835,-0.0002497733708215488,11.22000027,0.869999889999999,0.08405795730028753
Guyana,2009,3.404666101,1.2155432140000002,0.5552649516472761,60.01300049,-0.02399825999999905,-0.00039972451154546285,11.01299953,-0.2070007399999998,-0.01844926337065056
Guyana,2010,4.250219311,0.8455532100000003,0.24835128759077119,60.00299835,-0.010002140000004545,-0.0001666662209577341,10.90100002,-0.11199951000000041,-0.010169755269207825
Guyana,2011,5.07905364,0.8288343289999993,0.19500977910831363,59.88299942,-0.11999893000000128,-0.0019998822275520967,10.8920002,-0.008999819999999659,-0.0008255958153827736
Guyana,2012,4.260984894,-0.8180687459999998,-0.16106716014127387,59.76599884,-0.11700057999999558,-0.0019538196338394487,11.21100044,0.3190002399999994,0.02928757199251608
Guyana,2013,4.529014002,0.26802910800000035,0.06290308805774436,59.66500092,-0.10099792000000463,-0.0016898892674811483,11.36400032,0.1529998800000012,0.013647299437622884
Guyana,2014,3.1183478210000004,-1.4106661809999999,-0.3114731330874785,59.63600159,-0.02899932999999777,-0.00048603585942919025,11.82699966,0.46299933999999965,0.04074263700830305
Guyana,2015,2.48695055,-0.6313972710000004,-0.20247814138883402,59.52899933,-0.10700226000000157,-0.0017942561061629059,11.60200024,-0.22499941999999962,-0.019024218015408323
Guyana,2016,2.624598341,0.13764779100000002,0.05534802089249413,59.49200058,-0.036998749999995084,-0.0006215248100324144,11.43500042,-0.1669998200000009,-0.014394054175610016
Honduras,1996,0.7917149929999999,-0.4199719860000001,-0.34660105561801213,63.72900009,,,4.3699998860000004,,
Honduras,1997,2.189309185,1.3975941920000001,1.7652743782256506,64.04799652,0.31899642999999855,0.005005514436904779,3.319999933,-1.0499999530000004,-0.2402745950552183
Honduras,1998,0.190392625,-1.9989165599999998,-0.9130352961087129,65.17900085,1.1310043299999961,0.017658699591747817,4.019999981000001,0.7000000480000006,0.2108433922067794
Honduras,1999,-4.438975645,-4.6293682700000005,-24.31485079844873,67.28299713,2.103996280000004,0.03228027819637869,3.900000095,-0.11999988600000044,-0.029850718051533387
Honduras,2000,3.040341488,7.479317133,-1.6849196146017602,65.9489975,-1.3339996299999939,-0.01982669748528776,3.8659999369999998,-0.03400015800000045,-0.008717989018408034
Honduras,2001,0.132836617,-2.907504871,-0.9563086523259653,64.33300018,-1.6159973200000053,-0.02450374351786022,4.099999905,0.233999968,0.060527669894786085
Honduras,2002,1.182897655,1.0500610380000002,7.904906506313694,62.037998200000004,-2.295001979999995,-0.035673790645216474,3.900000095,-0.19999980999999956,-0.048780442593693074
Honduras,2003,2.010377579,0.8274799239999999,0.6995363635241967,61.67200089,-0.36599731000000446,-0.005899566727154748,5.1999998089999995,1.2999997139999993,0.3333332518803436
Honduras,2004,3.7205905319999997,1.7102129529999996,0.8506924126415556,61.26300049,-0.4090003999999965,-0.006631865256480074,6.0,0.8000001910000005,0.15384619622781237
Honduras,2005,3.615921293,-0.10466923899999969,-0.028132426317747705,59.40599823,-1.8570022600000016,-0.03031197044132894,4.1999998089999995,-1.8000001910000005,-0.30000003183333346
Honduras,2006,4.193582818,0.5776615250000003,0.15975500520940145,61.49000168,2.0840034499999973,0.03508069070620512,3.099999905,-1.0999999039999997,-0.2619047509580493
Honduras,2007,3.893642533,-0.29994028500000036,-0.07152363456674204,62.31499863,0.8249969499999992,0.013416765774269424,2.900000095,-0.19999980999999956,-0.06451606971904067
Honduras,2008,2.051207504,-1.8424350289999998,-0.4731905955373946,63.13199997,0.8170013400000045,0.013110829783548716,3.099999905,0.19999980999999956,0.06896544946492478
Honduras,2009,-4.403183848,-6.454391352,-3.14663013830316,63.94499969,0.8129997200000005,0.012877775460722551,3.299999952,0.20000004700000007,0.06451614617065604
Honduras,2010,1.708904258,6.112088106,-1.388106496796906,64.16000366,0.21500396999999793,0.0033623265469124863,4.8000001910000005,1.5000002390000007,0.4545455335812687
Honduras,2011,1.8859180819999999,0.17701382399999988,0.10358323069963338,64.47599792,0.31599425999999653,0.004925097287626912,4.400000095,-0.4000000960000003,-0.08333335001736053
Honduras,2012,2.242810082,0.3568920000000002,0.1892404571578843,64.80500031,0.3290023899999994,0.005102711095813062,3.9319999219999997,-0.4680001730000005,-0.10636367338532993
Honduras,2013,0.9852542059999999,-1.257555876,-0.5607054677044208,65.18299866,0.3779983499999986,0.005832857776279843,3.910000086,-0.02199983599999955,-0.005595075390746551
Honduras,2014,1.286505407,0.301251201,0.30575987310223174,65.5039978,0.32099913999999785,0.00492458381171379,5.5,1.5899999139999998,0.4066495854291907
Honduras,2015,1.887147132,0.600641725,0.46687850803568365,65.62799835,0.1240005500000052,0.0018930226270861272,7.3800001139999996,1.8800001139999996,0.34181820254545436
Honduras,2016,1.880914685,-0.006232446999999919,-0.0033025760918783398,65.76699829,0.13899994000000504,0.0021179975543168528,6.28399992,-1.0960001939999993,-0.14850950908806437
Haiti,1996,,,,64.58699799,,,12.37699986,,
Haiti,1997,0.851180643,,,64.09999847,-0.4869995199999977,-0.007540209874368209,12.38700008,0.010000220000000226,0.0008079680143100454
Haiti,1998,0.36880714200000003,-0.4823735009999999,-0.5667110794482669,63.59600067,-0.5039978000000005,-0.00786268037488147,12.36900043,-0.017999650000000145,-0.001453108087813959
Haiti,1999,0.927018085,0.558210943,1.5135578448206948,63.11899948,-0.47700119000000285,-0.007500490360630718,7.1999998089999995,-5.169000621,-0.4178996233570347
Haiti,2000,-0.8384260309999999,-1.7654441159999998,-1.9044333056350242,62.69800186,-0.4209976200000014,-0.006669903253669229,8.072999954,0.8730001450000007,0.1212500233553826
Haiti,2001,-2.676455131,-1.8380291,2.1922376358088056,62.81000137,0.11199951000000397,0.0017863330038825342,9.109999657000001,1.036999703000001,0.1284528315259299
Haiti,2002,-1.856589476,0.8198656550000001,-0.3063252006371857,62.98400116,0.17399978999999632,0.0027702561089752997,10.2489996,1.1389999429999982,0.12502744082155992
Haiti,2003,-1.22183007,0.6347594059999999,-0.3418954024061267,63.20899963,0.22499847000000273,0.003572311473646117,11.48799992,1.2390003200000006,0.12088987885217595
Haiti,2004,-5.0318119139999995,-3.8099818439999993,3.1182583712316063,63.4679985,0.2589988699999992,0.004097499905331148,12.81599998,1.3280000600000008,0.11559889182171945
Haiti,2005,0.21996397899999998,5.251775893,-1.043714666358652,63.7480011,0.2800026000000031,0.004411713093489311,14.22500038,1.4090004,0.10994073050864661
Haiti,2006,0.66211591,0.44215193100000005,2.0101106236126056,64.0,0.2519988999999967,0.003953047870547177,15.67399979,1.448999409999999,0.10186287320155407
Haiti,2007,1.749025245,1.0869093349999999,1.6415695780516737,64.25499725,0.2549972500000024,0.003984332031250037,16.79999924,1.1259994499999983,0.07183867966607882
Haiti,2008,-0.695362963,-2.444388208,-1.3975717131515732,64.55000305,0.29500579999999843,0.004591172867881577,15.873999599999998,-0.9259996400000006,-0.05511902868395613
Haiti,2009,1.5364973069999999,2.23186027,-3.2096335133684706,64.82599640000001,0.27599335000000735,0.004275652005565789,14.97299957,-0.901000029999997,-0.05675948423231647
Haiti,2010,-6.884637,-8.421134306999999,-5.480734830210802,65.19599915,0.3700027499999976,0.005707629200435882,14.51399994,-0.458999630000001,-0.030655155492000152
Haiti,2011,4.010975393,10.895612393,-1.5825979485919155,65.43299866,0.23699950999998975,0.003635184874684061,14.03600025,-0.477999689999999,-0.03293369794515788
Haiti,2012,1.443634179,-2.567341214,-0.6400790237907101,65.66400146,0.23100279999999884,0.003530371597369797,14.10000038,0.06400013000000015,0.004559712799948157
Haiti,2013,2.809536875,1.365902696,0.9461556922586549,65.88800049,0.22399903000000165,0.003411291194863386,13.97299957,-0.12700081000000019,-0.009007149402644243
Haiti,2014,1.442032508,-1.367504367,-0.48673657896018896,66.10500336,0.21700287000000174,0.0032935112370413577,13.94299984,-0.029999730000000113,-0.0021469785245259443
Haiti,2015,-0.098396905,-1.540429413,-1.0682348729686197,66.30599976,0.20099640000000818,0.0030405625865475017,13.48999977,-0.45300006999999987,-0.032489426608212635
Haiti,2016,0.16553752,0.263934425,-2.6823447851332314,66.52200317,0.216003409999999,0.003257675184475728,13.18500042,-0.304999350000001,-0.022609292453679597
Jamaica,1996,-1.070996725,-2.437120532,-1.7839675434336386,72.0039978,,,16.0,,
Jamaica,1997,-2.089529068,-1.018532343,0.9510134991309145,70.78500366,-1.2189941399999924,-0.016929534154282666,16.5,0.5,0.03125
Jamaica,1998,-3.252352557,-1.162823489,0.5565002692750287,69.42900085,-1.3560028100000068,-0.01915663968194825,15.5,-1.0,-0.06060606060606055
Jamaica,1999,0.145874074,3.398226631,-1.0448518638257827,68.79000092,-0.6389999299999971,-0.009203645770166635,15.69999981,0.19999980999999956,0.012903213548387082
Jamaica,2000,0.044067050999999996,-0.101807023,-0.6979103291514297,68.1289978,-0.6610031200000037,-0.009609000016858937,15.5,-0.19999980999999956,-0.01273884155543814
Jamaica,2001,0.58221462,0.538147569,12.212016842243427,67.52999878,-0.5989990199999937,-0.008792130213898353,15.0,-0.5,-0.032258064516129004
Jamaica,2002,1.299699503,0.717484883,1.2323374548718822,66.91100311,-0.6189956700000039,-0.009166232506779282,14.30000019,-0.6999998099999996,-0.04666665399999992
Jamaica,2003,3.014130114,1.7144306109999998,1.3190976891525361,66.26699829,-0.6440048199999922,-0.009624796970107652,11.69999981,-2.600000380000001,-0.18181820597584208
Jamaica,2004,0.719743275,-2.294386839,-0.7612102836380739,65.90799713,-0.35900116000000537,-0.00541749542402592,11.39999962,-0.30000019000000044,-0.025641042296734917
Jamaica,2005,0.309463186,-0.410280089,-0.5700367106590889,65.96800232,0.060005189999998265,0.0009104386813885146,10.89999962,-0.5,-0.04385965058479535
Jamaica,2006,2.317356713,2.0078935270000002,6.488311430361866,66.0510025,0.08300017999999909,0.0012581884713953606,9.600000381000001,-1.2999992389999981,-0.11926598938725452
Jamaica,2007,0.876894828,-1.4404618850000002,-0.6215969586897173,66.13999939,0.08899689000000421,0.00134739650620741,9.300000191,-0.30000019000000044,-0.03125001855143161
